,i,dec,cla,fid,id,op,<,>,{,},;,ret,cout,cin,f,el,for,(,),$,A,I,D,C,F,cls,fun,S,O,B,E,if,else,in,B',loop,counts
0,s3,s4,s6,s8,r3,,,,,r3,,r3,r3,r3,r3,r3,r3,,,,1,2,,,,5,7,,,,,,,,,,16
1,,,,,,,,,,,,,,,,,,,,a,,,,,,,,,,,,,,,,,1
2,,s4,s6,s8,,,,,,,,,,,,,,,,,,,9,,,5,7,,,,,,,,,,6
3,s3,r3,r3,r3,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,5
4,,s4,r5,r5,r5,,,,,r5,,r5,r5,r5,r5,r5,r5,,,,,,11,,,,,,,,,,,,,,12
5,,,s6,r7,,,,,,,,,,,,,,,,,,,,12,,5,,,,,,,,,,,4
6,,,,,,,,,s16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7,,,,s8,,,,,,r9,,,,,,,,,,r9,,,,,13,,7,,,,,,,,,,5
8,,,,,,,,,s14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
9,,,s6,s8,,,,,,,,,,,,,,,,,,,,21,,5,7,,,,,,,,,,5
10,,r2,r2,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
11,,,r4,r4,r4,,,,,r4,,r4,r4,r4,r4,r4,r4,,,,,,,,,,,,,,,,,,,,10
12,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
13,,,,,,,,,,r8,,,,,,,,,,r8,,,,,,,,,,,,,,,,,2
14,,s4,r5,r5,r5,,,,,r5,,r5,r5,r5,r5,r5,r5,,,,,,15,,,,,,,,,,,,,,12
15,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,23,25,,24,27,,26,,28,13
16,,s4,r5,r5,r5,,,,,r5,,r5,r5,r5,r5,r5,r5,,,,,,17,,,,,,,,,,,,,,12
17,,,,s8,e1,,,,,,,,,,,,,,,,,,,,18,,7,,,,,,,,,,4
18,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,,,,,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,,,r10,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
21,,,,s8,,,,,,,,,,,,,,,,,,,,,22,,7,,,,,,,,,,3
22,,,,,,,,,,,,,,,,,,,,r1,,,,,,,,,,,,,,,,,1
23,,,,,,,,,,s50,,s51,,,,,,,,,,,,,,,,,,,,,,,,,2
24,,,,,,s57,,,,,s71,,,,,,,,,,,,,,,,,,,,,,,,,,2
25,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,65,25,,24,27,,26,,28,13
26,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,67,25,,24,27,,26,,28,13
27,,,,,s30,,,,,r19,,r19,s31,s32,s33,s82,s34,,,,,,,,,,,68,25,,24,27,49,26,,28,15
28,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,69,25,,24,27,,26,,28,13
29,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
30,,,,,,r24,,,,,r24,,,,,,,,r24,,,,,,,,,,,,,,,,,,3
31,,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
32,,,,,,,,s42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
33,,,,,,,,,,,,,,,,,,s53,,,,,,,,,,,,,,,,,,,1
34,,,,,,,,,,,,,,,,,,s63,,,,,,,,,,,,,,,,,,,1
35,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
36,,,,,s37,e2,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,3
37,,,,,,,s40,,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,2
38,,,,,r20,,,,,r20,,r20,r20,r20,r20,,r20,,,,,,,,,,,,,,,,,,,,7
39,,,,,r21,,,,,r21,,r21,r21,r21,r21,,r21,,,,,,,,,,,,,,,,,,,,7
40,,,,,,,s41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,,,,,s37,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,2
42,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
43,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,2
44,,,,,,,,s47,,,s46,,,,,,,,,,,,,,,,,,,,,,,,,,2
45,,,,,r25,,,,,r25,,r25,r25,r25,r25,,r25,,,,,,,,,,,,,,,,,,,,7
46,,,,,r26,,,,,r26,,r26,r26,r26,r26,,r26,,,,,,,,,,,,,,,,,,,,7
47,,,,,,,,s48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,,,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,2
49,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,70,25,,24,27,,26,,28,13
50,,,,r11,,,,,,r11,,,,,,,,,,r11,,,,,,,,,,,,,,,,,3
51,,,,,r12,,,,,r12,,r12,r12,r12,r12,,r12,,,,,,,,,,,,,,,,,,,,7
52,,,,,r13,,,,,r13,,s66,r13,r13,r13,,r13,,,,,,,,,,,,,,,,,,,,7
53,,,,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
54,,,,,,s55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
55,,,,,s56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
56,,,,,,,,,,,,,,,,,,,s58,,,,,,,,,,,,,,,,,,1
57,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,2
58,,,,,,,,,s60,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
59,,,,,,r23,,,,,r23,,,,,,,,r23,,,,,,,,,,,,,,,,,,3
60,,,,,s30,,,,,,,,s31,s32,s33,,s34,,,,,,,,,,,61,25,,24,27,,26,,28,11
61,,,,,,,,,,s62,,,,,,,,,,,,,,,,,,,,,,,,,,,1
62,,,,,r28,,,,,r28,,r28,r28,r28,r28,r28,r28,,,,,,,,,,,,,,,,,,,,8
63,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,2
64,,,,,,s57,,,,,s72,,,,,,,,,,,,,,,,,,,,,,,,,,2
65,,,,,r14,,,,,r14,,s66,r14,r14,r14,,r14,,,,,,,,,,,,,,,,,,,,7
66,,,,,r12,,,,,r12,,r12,r12,r12,r12,,r12,,,,,,,,,,,,,,,,,,,,7
67,,,,,r15,,,,,r15,,s66,r15,r15,r15,,r15,,,,,,,,,,,,,,,,,,,,7
68,,,,,r16,,,,,r16,,s66,r16,r16,r16,,r16,,,,,,,,,,,,,,,,,,,,7
69,,,,,r18,,,,,r18,,s66,r18,r18,r18,,r18,,,,,,,,,,,,,,,,,,,,7
70,,,,,r17,,,,,r17,,s66,r17,r17,r17,,r17,,,,,,,,,,,,,,,,,,,,7
71,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,52,25,,24,27,,26,,28,13
72,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,2
73,,,,,,s57,,,,,s74,,,,,,,,,,,,,,,,,,,,,,,,,,2
74,,,,,s30,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,2
75,,,,,,s57,,,,,,,,,,,,,s76,,,,,,,,,,,,,,,,,,2
76,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,,,,,s30,,,,,r19,,r19,s31,s32,s33,,s34,,,,,,,,,,,78,25,,24,27,,26,,28,13
78,,,,,,,,,,s79,,s66,,,,,,,,,,,,,,,,,,,,,,,,,2
79,,,,,r30,,,,,r30,,r30,r30,r30,r30,,r30,,,,,,,,,,,,,,,,,,,,7
80,,,,,r22,,,,,r22,,r22,r22,r22,r22,,r22,,,,,,,,,,,,,,,,,,,,
81,,,,,r27,,,,,r27,,r27,r27,r27,r27,,r27,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,s30,,,,,,,,s31,s32,s33,,s34,,,,,,,,,,,84,25,,24,27,,26,,28,11
84,,,,,,,,,,s85,,s66,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,r29,,,,,,r29,r29,r29,r29,r29,,r29,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,s30,,,,,,,,s31,s32,s33,,s34,,,,,,,,,,,,25,,24,27,,26,,28,10
